zipcode,relative_income,relative_income_dispersion,income_category,inequality_category
1001,99801.16666666669,50551.296598273984,Upper Medium Income,High Inequality
1002,164926.33333333334,170914.75880293857,High Income,High Inequality
1005,27367.83333333333,18974.541084481243,Upper Medium Income,Moderate Inequality
1007,107845.66666666669,86963.70787326554,Upper Medium Income,High Inequality
1008,7971.0,5617.14436346441,Lower Medium Income,Low Inequality
1010,25944.33333333333,19290.837728483093,Upper Medium Income,Moderate Inequality
1011,6370.5,5621.680558338405,Lower Medium Income,Low Inequality
1012,4137.666666666667,4011.966483741691,Lower Medium Income,Low Inequality
1013,86071.83333333333,41716.62888305653,Upper Medium Income,High Inequality
1020,138020.83333333334,69657.71475842907,Upper Medium Income,High Inequality
1022,9389.333333333334,6094.159816305007,Lower Medium Income,Low Inequality
1026,5376.5,6094.256599454932,Lower Medium Income,Low Inequality
1027,111874.83333333331,60743.40717285017,Upper Medium Income,High Inequality
1028,139174.0,125377.13373976931,Upper Medium Income,High Inequality
1030,74230.0,52224.99244614594,Upper Medium Income,High Inequality
1031,4752.166666666667,3090.21846584779,Lower Medium Income,Low Inequality
1032,3115.6666666666665,3676.436898229952,Lower Medium Income,Low Inequality
1033,44065.0,30144.63699565812,Upper Medium Income,Moderate Inequality
1034,13347.5,8828.663154747721,Upper Medium Income,Moderate Inequality
1035,37929.333333333336,26399.440332451493,Upper Medium Income,Moderate Inequality
1036,42519.333333333336,35266.80409488031,Upper Medium Income,Moderate Inequality
1038,18957.33333333333,12959.208628101742,Upper Medium Income,Moderate Inequality
1039,11540.833333333334,8580.884789266585,Upper Medium Income,Moderate Inequality
1040,138738.16666666666,50944.54940586546,Upper Medium Income,High Inequality
1050,13494.5,9235.259601115717,Upper Medium Income,Moderate Inequality
1053,14208.333333333334,12243.482979392204,Upper Medium Income,Moderate Inequality
1054,19002.166666666668,20413.82554463192,Upper Medium Income,Moderate Inequality
1056,124511.16666666669,72715.25872722083,Upper Medium Income,High Inequality
1057,52938.66666666666,34187.5888981172,Upper Medium Income,Moderate Inequality
1060,106278.0,85569.12725042836,Upper Medium Income,High Inequality
1062,106522.16666666669,115075.21285214582,Upper Medium Income,High Inequality
1068,13050.333333333334,9849.11548651282,Upper Medium Income,Moderate Inequality
1069,44787.66666666666,22315.771720168374,Upper Medium Income,Moderate Inequality
1070,2927.5,2400.5821585607105,Lower Medium Income,Low Inequality
1071,9598.166666666666,6121.965286300361,Lower Medium Income,Low Inequality
1072,10679.833333333334,7176.40292672218,Upper Medium Income,Moderate Inequality
1073,53667.833333333336,46254.91917803626,Upper Medium Income,High Inequality
1075,116316.0,74683.0956053644,Upper Medium Income,High Inequality
1077,74134.83333333333,59079.45742613643,Upper Medium Income,High Inequality
1080,9980.833333333334,6326.413942089679,Lower Medium Income,Low Inequality
1081,9009.833333333334,5840.858957950162,Lower Medium Income,Low Inequality
1082,51768.833333333336,24582.2666767462,Upper Medium Income,Moderate Inequality
1085,228507.0,129268.1804111128,Very High Income,High Inequality
1088,3587.833333333333,3865.846164381954,Lower Medium Income,Low Inequality
1089,161989.66666666666,74542.55601377423,High Income,High Inequality
1095,131978.33333333334,130180.2531195368,Upper Medium Income,High Inequality
1096,17165.333333333332,10818.389633705505,Upper Medium Income,Moderate Inequality
1098,7858.5,4870.148693828557,Lower Medium Income,Low Inequality
1103,8357.666666666666,5415.682437760423,Lower Medium Income,Low Inequality
1104,75550.0,48493.965719458334,Upper Medium Income,High Inequality
1105,20961.166666666668,19830.971589074165,Upper Medium Income,Moderate Inequality
1106,235788.5,371714.0049359185,Very High Income,High Inequality
1107,26134.666666666668,16720.4517243604,Upper Medium Income,Moderate Inequality
1108,84636.66666666667,44796.69305949567,Upper Medium Income,High Inequality
1109,78303.5,54825.69764535605,Upper Medium Income,High Inequality
1118,72543.5,35594.58469908028,Upper Medium Income,Moderate Inequality
1119,52615.0,26491.16953250649,Upper Medium Income,Moderate Inequality
