zip_code,state,latitude,longitude,zipcode,relative_income,relative_income_dispersion,income_category,inequality_category,income_lambda,inequality_lambda
7093,NJ,40.78,-74.0,7093,305553.8333333333,160389.36961708736,Very High Income,High Inequality,6,3
7675,NJ,40.98,-74.03,7675,357230.1666666667,531195.4130613015,Very High Income,High Inequality,6,3
7677,NJ,41.02,-74.05,7677,123604.66666666669,240272.812393468,Upper Medium Income,High Inequality,4,3
7885,NJ,40.89,-74.58,7885,78985.5,47623.80625590525,Upper Medium Income,High Inequality,4,3
7981,NJ,40.82,-74.41,7981,103432.83333333331,123888.12257745562,Upper Medium Income,High Inequality,4,3
8889,NJ,40.6,-74.76,8889,129172.0,180291.4341470498,Upper Medium Income,High Inequality,4,3
7095,NJ,40.55,-74.28,7095,186883.5,174558.90048548084,High Income,High Inequality,5,3
7481,NJ,40.99,-74.16,7481,296916.0,541982.878257607,Very High Income,High Inequality,6,3
10451,NY,40.84,-73.87,10451,159002.33333333334,94850.98181814812,High Income,High Inequality,5,3
10452,NY,40.84,-73.87,10452,208532.8333333333,160941.50034396557,Very High Income,High Inequality,6,3
10453,NY,40.84,-73.87,10453,214158.8333333333,167326.79647016097,Very High Income,High Inequality,6,3
10454,NY,40.84,-73.87,10454,88850.83333333333,62404.99403867183,Upper Medium Income,High Inequality,4,3
10455,NY,40.84,-73.87,10455,105385.16666666669,82494.63048566655,Upper Medium Income,High Inequality,4,3
10456,NY,40.84,-73.87,10456,228883.3333333333,177655.21166874524,Very High Income,High Inequality,6,3
10457,NY,40.84,-73.87,10457,189668.16666666663,147219.78370370832,High Income,High Inequality,5,3
10458,NY,40.84,-73.87,10458,204795.16666666663,139332.8078758433,Very High Income,High Inequality,6,3
10459,NY,40.84,-73.87,10459,126202.83333333331,96209.3609134094,Upper Medium Income,High Inequality,4,3
10460,NY,40.84,-73.87,10460,154800.0,117445.84258627462,High Income,High Inequality,5,3
10461,NY,40.84,-73.87,10461,229162.8333333333,105396.31099315888,Very High Income,High Inequality,6,3
10462,NY,40.84,-73.87,10462,309550.6666666667,151522.25640699346,Very High Income,High Inequality,6,3
10463,NY,40.84,-73.87,10463,406652.3333333333,223686.9339274573,Very High Income,High Inequality,6,3
10464,NY,40.84,-73.87,10464,33160.0,26333.89472144217,Upper Medium Income,Moderate Inequality,4,2
10465,NY,40.84,-73.87,10465,220597.0,122001.97512991336,Very High Income,High Inequality,6,3
10466,NY,40.84,-73.87,10466,247902.5,124926.3356266404,Very High Income,High Inequality,6,3
10467,NY,40.84,-73.87,10467,308026.3333333333,172861.65610992702,Very High Income,High Inequality,6,3
10468,NY,40.84,-73.87,10468,217483.0,144059.6793318658,Very High Income,High Inequality,6,3
10469,NY,40.84,-73.87,10469,278174.1666666667,124464.74750292416,Very High Income,High Inequality,6,3
10470,NY,40.84,-73.87,10470,74579.16666666667,32813.44625251464,Upper Medium Income,Moderate Inequality,4,2
10471,NY,40.84,-73.87,10471,221192.66666666663,268967.6155016932,Very High Income,High Inequality,6,3
10472,NY,40.84,-73.87,10472,176985.33333333334,112468.43591989118,High Income,High Inequality,5,3
10473,NY,40.84,-73.87,10473,211939.5,103353.40453560298,Very High Income,High Inequality,6,3
10474,NY,40.84,-73.87,10474,27935.166666666668,22449.912912229003,Upper Medium Income,Moderate Inequality,4,2
10475,NY,40.84,-73.87,10475,198572.16666666663,109570.77564645908,High Income,High Inequality,5,3
10001,NY,40.71,-73.99,10001,466522.3333333333,762192.0449688954,Very High Income,High Inequality,6,3
10002,NY,40.71,-73.99,10002,444556.0,313669.0070599899,Very High Income,High Inequality,6,3
10003,NY,40.71,-73.99,10003,1144858.1666666667,2116027.380040572,Very High Income,High Inequality,6,3
10004,NY,40.71,-73.99,10004,173218.83333333334,370660.8028202694,High Income,High Inequality,5,3
10005,NY,40.71,-73.99,10005,393077.3333333333,807932.552556627,Very High Income,High Inequality,6,3
10006,NY,40.71,-73.99,10006,97750.66666666669,173004.6964849991,Upper Medium Income,High Inequality,4,3
10007,NY,40.71,-73.99,10007,450218.3333333333,1029368.0784608908,Very High Income,High Inequality,6,3
10009,NY,40.71,-73.99,10009,423096.0,327937.60511780286,Very High Income,High Inequality,6,3
10010,NY,40.71,-73.99,10010,784934.3333333334,1497227.926293878,Very High Income,High Inequality,6,3
10011,NY,40.71,-73.99,10011,1503183.1666666667,2950238.055149341,Very High Income,High Inequality,6,3
10012,NY,40.71,-73.99,10012,543068.3333333334,1041825.8600074518,Very High Income,High Inequality,6,3
10013,NY,40.71,-73.99,10013,1477854.1666666667,3336249.4772907146,Very High Income,High Inequality,6,3
10014,NY,40.71,-73.99,10014,1011048.6666666666,2002970.048399393,Very High Income,High Inequality,6,3
10016,NY,40.71,-73.99,10016,1015440.3333333334,1679958.4598677035,Very High Income,High Inequality,6,3
10017,NY,40.71,-73.99,10017,817406.6666666666,1717921.2578091775,Very High Income,High Inequality,6,3
10018,NY,40.71,-73.99,10018,328713.0,652163.8857811738,Very High Income,High Inequality,6,3
10019,NY,40.71,-73.99,10019,1269743.8333333333,2440143.3628492747,Very High Income,High Inequality,6,3
